code,value
002625.SZ,3.66
002626.SZ,72.72
002627.SZ,48.11
002628.SZ,31.49
002629.SZ,4.08
002630.SZ,2.38
002631.SZ,54.75
002632.SZ,45.07
002633.SZ,17.45
002634.SZ,20.66
002635.SZ,9.37
002636.SZ,69.78
002637.SZ,33.86
002638.SZ,31.98
002639.SZ,1.43
002640.SZ,25.04
002641.SZ,54.25
002642.SZ,11.44
002643.SZ,65.79
002644.SZ,61.82
002645.SZ,59.73
002646.SZ,71.66
002647.SZ,53.46
002648.SZ,57.87
002649.SZ,5.14
002650.SZ,25.68
002651.SZ,2.56
002652.SZ,52.81
002653.SZ,9.19
002654.SZ,35.19
002655.SZ,20.99
002656.SZ,46.04
002657.SZ,9.11
002658.SZ,4.19
002659.SZ,49.43
002660.SZ,7.04
002661.SZ,55.35
002662.SZ,67.55
002663.SZ,8.46
002664.SZ,35.57
002665.SZ,41.84
002666.SZ,3.57
002667.SZ,20.07
002668.SZ,6.69
002669.SZ,34.78
002670.SZ,77.64
002671.SZ,6.99
002672.SZ,52.2
002673.SZ,64.26
002674.SZ,55.12
002675.SZ,52.56
002676.SZ,30.16
002677.SZ,16.97
002678.SZ,84.39
002679.SZ,71.43
002681.SZ,14.62
002682.SZ,42.89
002683.SZ,39.25
002684.SZ,52.35
002685.SZ,42.45
002686.SZ,38.39
002687.SZ,2.49
002688.SZ,47.46
002689.SZ,61.72
002690.SZ,31.94
002691.SZ,41.55
002692.SZ,29.48
002693.SZ,51.14
002694.SZ,37.78
002695.SZ,68.3
002696.SZ,9.51
002697.SZ,63.87
002698.SZ,34.86
002699.SZ,63.05
002700.SZ,36.64
002701.SZ,57.35
002702.SZ,0.15
002703.SZ,61.91
002705.SZ,86.9
002706.SZ,22.64
002707.SZ,17.52
002708.SZ,45.73
002709.SZ,38.08
002711.SZ,53.47
002712.SZ,49.71
002713.SZ,76.17
002714.SZ,40.23
002715.SZ,31.78
002716.SZ,4.18
002717.SZ,15.57
002718.SZ,13.87
002719.SZ,65.02
002721.SZ,32.58
002722.SZ,45.55
002723.SZ,33.95
002724.SZ,14.71
002725.SZ,5.03
002726.SZ,69.8
002727.SZ,31.46
002728.SZ,8.41
002729.SZ,71.01
002730.SZ,57.47
002731.SZ,37.3
002732.SZ,61.91
002733.SZ,49.52
002734.SZ,19.84
002735.SZ,15.63
002736.SZ,90.31
002737.SZ,64.68
002738.SZ,41.14
002739.SZ,70.09
002740.SZ,13.61
002741.SZ,18.05
002742.SZ,0.92
002743.SZ,50.22
002745.SZ,39.48
002746.SZ,8.13
002747.SZ,65.17
002748.SZ,66.75
002749.SZ,11.21
002750.SZ,69.32
002751.SZ,3.11
002752.SZ,84.26
002753.SZ,20.29
002755.SZ,5.33
002756.SZ,25.57
002757.SZ,52.79
002758.SZ,34.83
002759.SZ,72.99
002760.SZ,32.45
002761.SZ,67.32
002762.SZ,0.72
002763.SZ,0.33
002765.SZ,1.13
002766.SZ,23.13
002767.SZ,0.82
002768.SZ,41.03
002769.SZ,22.23
002770.SZ,20.66
002771.SZ,19.76
002772.SZ,8.78
002773.SZ,61.95
002774.SZ,0
002775.SZ,38.26
002776.SZ,1.84
002777.SZ,68.5
002778.SZ,18.75
002779.SZ,62.48
002780.SZ,24.43
002781.SZ,50.65
002782.SZ,72.4
002783.SZ,20.53
002785.SZ,29.14
002786.SZ,63.71
002787.SZ,11.32
002788.SZ,46.63
002789.SZ,5.53
002790.SZ,0.15
002791.SZ,21.35
002792.SZ,11.21
002793.SZ,4.87
002795.SZ,69.1
002796.SZ,10.75
002797.SZ,46.62
002798.SZ,28.57
002799.SZ,73
002800.SZ,48.23
002801.SZ,11.56
002802.SZ,4.79
002803.SZ,40.98
002805.SZ,4.52
002806.SZ,34.91
002807.SZ,38.21
002808.SZ,8.48
002809.SZ,17.21
002810.SZ,11.05
002811.SZ,61.83
002812.SZ,52.45
002813.SZ,0.03
002815.SZ,12.8
002816.SZ,10.32
002817.SZ,0.16
002818.SZ,11.87
002819.SZ,101.79
002820.SZ,61.57
002821.SZ,67.74
002822.SZ,5
002823.SZ,8.89
002824.SZ,0.14
002825.SZ,11.51
002826.SZ,20.51
002827.SZ,74.02
002828.SZ,0.01
002829.SZ,4.78
002830.SZ,0.72
002831.SZ,32.05
002832.SZ,22.6
002833.SZ,25.3
